CustomerID,Recency,Frequency,Monetary,Recency_log,Frequency_log,Monetary_log,Recency_scaled,Frequency_scaled,Monetary_scaled,Cluster
12347.0,96,5,2540.29,4.574710978503383,1.791759469228055,7.840427105103972,0.077826773715113,1.3070204226603186,1.3664251226323656,1
12348.0,221,1,367.0,5.402677381872279,0.6931471805599453,5.908082938168931,0.6889091438060244,-0.7741883749649034,-0.29462650171528026,3
12350.0,312,1,334.4,5.746203190540153,0.6931471805599453,5.815323849389109,0.9424490996472412,-0.7741883749649034,-0.37436262622519084,3
12352.0,275,3,1296.38,5.62040086571715,1.3862943611198906,7.168102125213859,0.8496004254703785,0.5389081788515271,0.7884915851987556,1
12355.0,97,1,459.4,4.584967478670572,0.6931471805599453,6.132095676847728,0.08539660554102044,-0.7741883749649034,-0.10206415706465036,3
12356.0,129,1,481.46,4.867534450455582,0.6931471805599453,6.178898015788112,0.2939457617932729,-0.7741883749649034,-0.06183265873715369,3
12357.0,183,1,6207.67,5.214935757608986,0.6931471805599453,8.733701981297274,0.550346037558324,-0.7741883749649034,2.134288171813349,1
12358.0,4,2,1168.06,1.6094379124341003,1.0986122886681098,7.063955286074528,-2.1106993377399443,-0.006076131156111717,0.698966499925023,2
12359.0,10,3,3495.73,2.3978952727983707,1.3862943611198906,8.159583525046289,-1.528776701112921,0.5389081788515271,1.6407733980780546,2
12362.0,31,5,2135.79,3.4657359027997265,1.791759469228055,7.66705998188963,-0.7406546463948805,1.3070204226603186,1.217397973871168,0
12363.0,37,1,299.1,3.6375861597263857,0.6931471805599453,5.704115752446321,-0.6138201977068869,-0.7741883749649034,-0.46995760005452814,3
12364.0,302,1,310.32,5.713732805509369,0.6931471805599453,5.740821322091187,0.9184842627146785,-0.7741883749649034,-0.4384053294370653,3
12367.0,213,1,168.9,5.365976015021851,0.6931471805599453,5.135210028677887,0.6618216217166248,-0.7741883749649034,-0.9589914858064128,3
12370.0,69,1,938.39,4.248495242049359,0.6931471805599453,6.845230728443623,-0.16293744640561536,-0.7741883749649034,0.5109498991795159,1
12371.0,31,1,1527.96,3.4657359027997265,0.6931471805599453,7.33234304469739,-0.7406546463948805,-0.7741883749649034,0.9296738087180717,1
12372.0,36,1,515.7,3.6109179126442243,0.6931471805599453,6.247462435293139,-0.6335027543502829,-0.7741883749649034,-0.002894379345692478,3
12373.0,343,1,364.6,5.840641657373398,0.6931471805599453,5.901539839579995,1.0121496115344357,-0.7741883749649034,-0.30025097830976677,3
12375.0,305,1,230.3,5.723585101952381,0.6931471805599453,5.443715569237393,0.9257557711197745,-0.7741883749649034,-0.6937987535617101,3
12378.0,306,1,4008.62,5.726847747587197,0.6931471805599453,8.29645175271804,0.9281637736899004,-0.7741883749649034,1.7584259341976147,1
12380.0,158,1,607.55,5.0689042022202315,0.6931471805599453,6.411079078320566,0.4425671366126743,-0.7741883749649034,0.13775121336054355,3
12381.0,1,5,1845.31,0.6931471805599453,1.791759469228055,7.520944331624911,-2.7869696668833854,1.3070204226603186,1.0917963122376773,2
12383.0,10,2,750.61,2.3978952727983707,1.0986122886681098,6.622217572400241,-1.528776701112921,-0.006076131156111717,0.3192468001998366,2
12384.0,30,2,585.27,3.4339872044851463,1.0986122886681098,6.373780434317173,-0.7640868409071632,-0.006076131156111717,0.10568913339159633,1
12386.0,193,2,401.9,5.267858159063328,1.0986122886681098,5.998688392197302,0.5894055288372393,-0.006076131156111717,-0.21674165119856578,3
12388.0,99,2,334.95,4.605170185988092,1.0986122886681098,5.816962339366159,0.10030725676987509,-0.006076131156111717,-0.3729541729670043,3
12393.0,40,2,884.1,3.713572066704308,1.0986122886681098,6.785700632974831,-0.5577386369809405,-0.006076131156111717,0.4597775648365878,1
12394.0,154,2,1272.48,5.043425116919247,1.0986122886681098,7.149508589545504,0.4237622433584039,-0.006076131156111717,0.7725084993940801,1
12395.0,6,7,1762.63,1.9459101490553132,2.0794415416798357,7.475129463999116,-1.8623652857933086,1.8520047326679574,1.0524136486359834,0
12397.0,244,1,1195.09,5.501258210544727,0.6931471805599453,7.086813182515495,0.7616669346844612,-0.7741883749649034,0.7186152491810431,1
12399.0,3,3,820.6,1.3862943611198906,1.3862943611198906,6.711253658614348,-2.275390911761259,0.5389081788515271,0.39578261517635743,2
12401.0,100,1,84.3,4.61512051684126,0.6931471805599453,4.446174454497633,0.10765111968049784,-0.7741883749649034,-1.5512895242768534,3
12406.0,96,1,1621.25,4.574710978503383,0.6931471805599453,7.391569353501278,0.077826773715113,-0.7741883749649034,0.9805850066952179,1
12407.0,187,1,719.06,5.236441962829949,0.6931471805599453,6.579334541871405,0.5662187381952272,-0.7741883749649034,0.282384356782288,3
12408.0,153,2,1396.78,5.0369526024136295,1.0986122886681098,7.242640542742068,0.41898519022140823,-0.006076131156111717,0.8525651398119162,1
12409.0,66,1,6207.08,4.204692619390966,0.6931471805599453,8.733606948377961,-0.19526606549133826,-0.7741883749649034,2.1342064810940182,1
12410.0,253,2,693.33,5.537334267018537,1.0986122886681098,6.542947351813216,0.7882929451165858,-0.006076131156111717,0.25110576667094714,1
12413.0,193,2,673.45,5.267858159063328,1.0986122886681098,6.5138975439156885,0.5894055288372393,-0.006076131156111717,0.22613442283849167,1
